Symbol,Description,Pre-market Close,Pre-market Close - Currency,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Price - Currency,Price Change % 1 day,Gap % 1 day,Volume 1 day,Volume Change % 1 day,Post-market Close,Post-market Close - Currency,Post-market Change %,Post-market Volume
ZEO,Zeo Energy Corporation,2.59,USD,6.584362139917682,-3.29218106995885,9227,2.954,USD,21.56378600823045,4.938271604938257,148624,-77.10094909404658,,,,
TNGL,"Tonogold Resources, Inc.",,,,,,0.02095,USD,11.733333333333338,11.733333333333338,10000,-96.7226116852003,,,,
PHIL,PHI Group Inc. (WY),,,,,,0.0002,USD,100,100,1000000,-97.74001273774022,,,,
AGOAF,ABENGOA SA,,,,,,0.0001,USD,900,900,18655,62.21739130434783,,,,
WRMA,"Wiremedia, Inc.",,,,,,0.0027,USD,22.727272727272727,22.727272727272727,5000,-99.42000338718022,,,,
WTER,Alkaline Water Company Inc. (The),,,,,,0.025,USD,13.63636363636365,13.63636363636365,6131,-99.6181439841951,,,,
ELEK,Elektros Inc.,,,,,,0.022,USD,46.666666666666664,21.066666666666663,3432,-99.3234345553041,,,,
NAFS,"North America Frac Sand, Inc.",,,,,,0.0002,USD,100,100,10000,-96.66666666666667,,,,
DNAG,DNAPRINT GENOMICS,,,,,,0.000006,USD,500.0000000000001,500.0000000000001,3665,-79.29378531073446,,,,
VMSI,"Vita Mobile Systems, Inc.",,,,,,0.0007,USD,16.66666666666668,16.66666666666668,10000,-99.82547993019197,,,,
EWRC,"eWorld Companies, Inc.",,,,,,0.0001,USD,9900.000000000002,9900.000000000002,200000,-86.66666666666667,,,,
AFFU,Affluence Corp.,,,,,,0.00015,USD,49.99999999999998,100,218469,-97.09390506083446,,,,
DKTS,TOP SHELF BRANDS HLDGS CORP,,,,,,0.00002,USD,1900.0000000000005,1900.0000000000005,1000,-99.94949494949495,,,,
FDFT,"Foodfest International 2000, Inc.",,,,,,0.000002,USD,100,100,10000,-83.33333333333334,,,,
HFBG,HALL OF FAME BEVERAGES INC,,,,,,0.000034,USD,3300.000000000001,3300.000000000001,600,300,,,,
EXMT,Anything Technologies Media Inc.,,,,,,0.00035,USD,16.66666666666668,16.66666666666668,300,-29.411764705882355,,,,
MODC,MODERN TECHNOLOGY CORP,,,,,,0.000037,USD,3600,3600,550,-99.9725,,,,
VNUE,"VNUE, Inc.",,,,,,0.0004,USD,33.33333333333336,33.33333333333336,750,-99.94549798851243,,,,
BNYN,BANYAN CORP(OREGON),,,,,,0.000193,USD,19200,19200,104,-99.93066666666667,,,,
