Symbol,Description,Pre-market Close,Pre-market Close - Currency,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Price - Currency,Price Change % 1 day,Gap % 1 day,Volume 1 day,Volume Change % 1 day,Post-market Close,Post-market Close - Currency,Post-market Change %,Post-market Volume
KPRX,"Kiora Pharmaceuticals, Inc.",3.93,USD,37.89473684210527,8.07017543859649,11590904,3.9,USD,36.84210526315789,38.59649122807018,24589034,898293.6426744611,3.6,USD,-7.692307692307689,137539
RSLS,"ReShape Lifesciences, Inc.",5.73,USD,32.94663573085849,-2.088167053364266,9851536,6.75,USD,56.6125290023202,32.714617169373554,57640303,82467.4015184071,5.88,USD,-12.888888888888891,496151
TRAW,"Traws Pharma, Inc.",2.5299,USD,78.16197183098593,1.4084507042253533,27828303,1.87,USD,31.690140845070434,78.16901408450704,62769879,45469.95513416192,1.8606,USD,-0.5026737967914479,600358
TSBX,Turnstone Biologics Corp.,0.292,USD,-6.6197633514550684,26.287176207227375,6841369,0.3462,USD,10.713143588103623,-3.6136872401662865,10353613,43137.33817756619,0.3479,USD,0.49104563835932385,66178
BMEA,"Biomea Fusion, Inc.",1.6,USD,3.2258064516129057,3.8709677419354875,9168,2.49,USD,60.64516129032259,1.9354838709677438,63292497,10584.622279993922,2.6,USD,4.417670682730918,1352806
TXTM,"ProText Mobility, Inc.",,,,,,0.0029,USD,383.33333333333337,250.00000000000006,302763197,5803.773121697249,,,,
NTRR,Neutra Corp.,,,,,,0.0002,USD,19900.000000000004,19900.000000000004,28148403,20473.911676996842,,,,
CGLD,Buscar Company,,,,,,0.0199,USD,99.00000000000001,0,5646465,155.8665235333861,,,,
NIVF,NewGenIvf Group Limited,5.2501,USD,205.23837209302326,43.60465116279071,33270920,3.7,USD,115.11627906976744,205.8139534883721,93627187,91.04528560220454,2.94,USD,-20.540540540540544,989639
NCEW,New Century Logistics (BVI) Limited,1.08,USD,2.8571428571428594,0.9523809523809532,5077,1.27,USD,20.95238095238095,1.9047619047619064,3704811,1903.369401229661,1.3,USD,2.362204724409451,98828
AGEN,Agenus Inc.,4.83,USD,16.949152542372886,-0.24213075060532172,2111054,5,USD,21.06537530266344,16.828087167070223,9933528,492.5699154172734,4.9518,USD,-0.9639999999999916,126885
UNCY,"Unicycive Therapeutics, Inc.",0.69,USD,4.16666666666666,4.151570048309174,258929,0.763,USD,15.187198067632854,2.6570048309178835,12637368,337.0320725237011,0.8338,USD,9.279161205766707,332703
REKR,"Rekor Systems, Inc.",1.35,USD,22.727272727272727,1.8181818181818195,9798140,1.44,USD,30.909090909090892,22.27272727272726,41372050,1546.6743165366547,1.44,USD,0,385805
