Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
FERN,Fernhill Corp.,0.0004,USD,14.285714285714294,4521255,2.7543870475933794,1029620.5714285714,USD,,-0.0003,USD,,0,Non-energy minerals,
EYEN,"Eyenovia, Inc.",2.11,USD,26.347305389221553,18258030,2.7140511046748097,6082725.688622754,USD,,-44.8138,USD,25.886442718600744,0,Health technology,
NINE,"Nine Energy Service, Inc.",0.5141,USD,14.780084840366147,1754263,2.6050479567323936,21771438.28488502,USD,,-1.0508,USD,-3.77246691684772,0,Industrial services,Strong sell
BLNK,Blink Charging Co.,0.7864,USD,10.542592071970756,4174044,2.427177307445576,80776749.61484396,USD,,-1.9916,USD,28.83584649467591,0,Consumer services,Buy
NPWR,NET Power Inc.,2.76,USD,24.324324324324305,4958835,2.147740719439554,604625102.7567567,USD,,-2.0452,USD,6.278068004765832,0,Producer manufacturing,Buy
SPWR,"Complete Solaria, Inc.",1.78,USD,17.105263157894736,2436393,2.0718614151694297,142884612.02631578,USD,,-0.6235,USD,73.84208759859037,0,Industrial services,Buy
CRCW,The Crypto Company,0.0009,USD,12.499999999999991,6190094,1.9968709926085282,2326007.25,USD,,-0.0035,USD,97.94721407624634,0,Retail trade,
UUUU,Energy Fuels Inc,5.58,USD,14.579055441478438,20613856,1.9018265024280612,1209015070.9650924,USD,,-0.4265,USD,-545.2344931921331,0,Non-energy minerals,Strong buy
CDSG,"China Dongsheng International, Inc.",0.0155,USD,64.89361702127658,7611787,1.8264618342297931,488962.34042553196,USD,,-0.0012,USD,-33.33333333333333,0,Health technology,
AQST,"Aquestive Therapeutics, Inc.",3.18,USD,13.167259786476873,2096924,1.799427680594387,315862800.0854092,USD,,-0.5837,USD,-37.308868501529055,0,Health technology,Strong buy
TNGX,"Tango Therapeutics, Inc.",3.24,USD,27.559055118110244,11698152,1.7481939685820242,351197163.3543308,USD,,-1.2128,USD,-7.251503360452784,0,Health technology,Strong buy
CHPT,"ChargePoint Holdings, Inc.",0.7718,USD,12.098765432098771,24977296,1.7472132062766161,356301223.38271606,USD,,-0.6534,USD,46.678635547576306,0,Retail trade,Neutral
SES,SES AI Corporation,0.9153,USD,10.583544762595144,19207351,1.5015479099244695,335780774.1681769,USD,,-0.2996,USD,-79.83193277310924,0,Producer manufacturing,Buy
ADV,Advantage Solutions Inc.,1.35,USD,17.391304347826104,977939,1.4979983318794081,437821207.0434783,USD,,-1.293,USD,-428.61815208503674,0,Commercial services,Buy
EWCZ,"European Wax Center, Inc.",5.68,USD,10.077519379844952,1182796,1.4971773402936872,313565023.0387597,USD,27.81586679725759,0.2042,USD,-17.661290322580648,0,Consumer services,Neutral
MASS,908 Devices Inc.,6.62,USD,11.260504201680671,853881,1.3506706207496981,237400822.45714283,USD,,-2.1414,USD,-99.70157605147813,0,Health technology,Buy
DDD,3D Systems Corporation,1.75,USD,14.37908496732026,5375501,1.3430750458876601,238722494.93464056,USD,,-2.0911,USD,22.058220582205827,0,Technology services,Neutral
GCTK,"GlucoTrack, Inc.",0.143,USD,12.333071484681847,1815174,1.3260127885508932,4095921.0290651997,USD,,-57.0037,USD,-48.43167378398083,0,Health technology,
VUZI,Vuzix Corporation,3.18,USD,10.03460207612457,3138945,1.3198315715718856,242450892.51903114,USD,,-1.0476,USD,-34.49736808319425,0,Electronic technology,Strong buy
BRY,Berry Corporation (bry),2.71,USD,12.448132780082979,1365493,1.2846514272639897,210285727.86307052,USD,,-0.4826,USD,-3960.7999999999997,10.7883817427386,Energy minerals,Buy
FMNJ,"Franklin Mining, Inc.",0.0018,USD,12.499999999999991,808750,1.2834669461437433,3116486.25,USD,,-0.0001,USD,50,0,Non-energy minerals,
TPIC,"TPI Composites, Inc.",1.36,USD,13.333333333333346,675714,1.2701847002401778,66164024.933333345,USD,,-4.7698,USD,-3.5404953654459814,0,Producer manufacturing,Neutral
EVH,"Evolent Health, Inc",8.55,USD,12.945838837516519,2403882,1.2631765794725516,1003768405.2047557,USD,,-1.2202,USD,2.6332588573252584,0,Commercial services,Strong buy
UEC,Uranium Energy Corp.,6.36,USD,11.775043936731105,24202338,1.2147371954386528,2726733183.9015813,USD,,-0.1802,USD,-441.1411411411411,0,Non-energy minerals,Strong buy
