ticker,description,pre-market close,pre-market close - currency,pre-market change %,gap %,premarket volume,price,price - currency,price change % 1 day,gap % 1 day,volume 1 day,volume change % 1 day,post-market close,post-market close - currency,post-market change %,post-market volume,float,score
GNLN,"Greenlane Holdings, Inc.",0.00725,USD,18.852459016393443,14.754098360655732,124647609.0,0.00685,USD,12.295081967213113,16.39344262295082,196007322,48.39178798724772,,,,,1000000.0,1252.3778293441624
NIVF,NewGenIvf Group Limited,5.2501,USD,205.2383720930233,43.60465116279071,33270920.0,5.4848,USD,218.88372093023256,205.8139534883721,66819320,36.34411629973566,,,,,1000000.0,350.1511604650163
REVB,"Revelation Biosciences, Inc.",1.04,USD,26.366950182260037,17.569866342648854,28035015.0,0.9948,USD,20.874848116646422,25.15188335358446,35076490,5754.004085529083,,,,,1000000.0,287.3781965369596
TRAW,"Traws Pharma, Inc.",2.5299,USD,78.16197183098593,1.4084507042253531,27828303.0,2.1,USD,47.88732394366198,78.16901408450704,50761520,36752.07341154606,,,,,1000000.0,278.8465102815901
KPRX,"Kiora Pharmaceuticals, Inc.",3.93,USD,37.89473684210527,8.07017543859649,11590904.0,3.57,USD,25.263157894736832,38.59649122807018,21293536,777888.1622214103,,,,,1000000.0,119.13721017533861
SOAR,"Volato Group, Inc.",3.26,USD,22.097378277153556,-8.239700374531827,12147691.0,3.12,USD,16.85393258426967,20.5992509363296,19551044,10637.43512573936,,,,,1000000.0,118.18112985008727
RENB,Renovaro Inc.,0.3701,USD,27.664711969644703,7.450845119006557,9870704.0,0.3488,USD,20.31735081062436,27.63021731631597,55090218,3836.382058343111,,,,,1000000.0,101.68747804750264
REKR,"Rekor Systems, Inc.",1.35,USD,22.727272727272727,1.8181818181818197,9798140.0,1.365,USD,24.09090909090908,22.27272727272726,17850538,610.4802024787649,,,,,1000000.0,98.70877272717274
RSLS,"ReShape Lifesciences, Inc.",5.73,USD,32.94663573085849,-2.088167053364266,9851536.0,6.0599,USD,40.60092807424595,32.714617169373554,15860738,22619.86534880389,,,,,1000000.0,97.68019317855429
EYEN,"Eyenovia, Inc.",1.85,USD,10.778443113772465,4.790419161676651,7629263.0,1.855,USD,11.07784431137725,11.377245508982046,10702894,2999.916006302424,,,,,1000000.0,78.20889766457067
